pokemon_id,form,count_poke,avg_weight,avg_height,avg_size,avg_atk,avg_def,avg_sta,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
203,0,2013,729.3478,42.45084445883183,1.5032492756606453,3.0035,7.9160,8.0298,8.0601,16.8440,53.346592,37.095973367146705,-8.097949949693797,0,0.0000,0,0.0000,5,0.2484,1,0.0497,0,0.0000,0,0.0000
731,0,1905,690.2174,1.2180426958713586,0.2991883533012841,2.9947,7.9501,8.0409,7.8357,17.0688,52.948404,37.08714457989625,-8.112944654287887,1,0.0525,1,0.0525,0,0.0000,1,0.0525,0,0.0000,1,0.0525
48,259,1896,686.9565,30.59695959141486,0.9972713269953486,2.9989,8.0549,7.9720,8.1007,16.7242,53.616999,37.123369957686954,-8.050847443246496,0,0.0000,1,0.0527,2,0.1055,0,0.0000,0,0.0000,0,0.0000
548,0,1895,686.5942,6.72890977029121,0.4988432996663066,3.0016,9.1799,9.2296,9.1636,19.9778,61.273578,37.08758567919544,-8.103417748170418,2,0.1055,0,0.0000,3,0.1583,0,0.0000,0,0.0000,0,0.0000
524,0,1892,685.5072,18.721116896472488,0.40283468523270116,3.0122,8.0692,8.0227,7.8356,16.8605,53.172447,37.09770691010827,-8.094592756738246,0,0.0000,0,0.0000,2,0.1057,0,0.0000,0,0.0000,0,0.0000
753,0,1846,668.8406,1.5275399558092766,0.2984600685787098,2.9886,9.3581,9.1771,9.3667,19.8261,62.00435,37.09567089506813,-8.100097383427922,2,0.1083,0,0.0000,9,0.4875,0,0.0000,0,0.0000,0,0.0000
307,0,1843,667.7536,11.419147324199459,0.6093796156690794,3.0005,8.1389,7.9783,8.1443,17.2583,53.914596,37.09614010461051,-8.093957490910148,1,0.0543,0,0.0000,1,0.0543,0,0.0000,1,0.0543,0,0.0000
29,776,1828,662.3188,7.2675557374040745,0.40236291205321895,3.0159,8.2380,8.2177,7.8665,17.0306,54.049404,37.0985623553568,-8.087581515265079,1,0.0547,1,0.0547,9,0.4923,0,0.0000,2,0.1094,0,0.0000
237,0,1825,661.2319,48.708250148198374,1.39614787265046,3.0011,7.9677,7.9852,7.9792,16.7332,53.182422,37.096564109819965,-8.095220770136383,0,0.0000,0,0.0000,2,0.1096,0,0.0000,0,0.0000,0,0.0000
506,0,1795,650.3623,4.204128314392812,0.4000537443376849,3.0000,8.0384,7.9148,7.8162,16.4345,52.820747,37.095115850935954,-8.102549936961239,1,0.0557,0,0.0000,6,0.3343,0,0.0000,1,0.0557,2,0.1114
216,1265,1791,648.9130,8.991380263440435,0.6092264475769171,3.0006,7.8967,8.0704,7.9464,16.8632,53.140972,37.0935755718984,-8.10453234020219,2,0.1117,0,0.0000,3,0.1675,0,0.0000,1,0.0558,1,0.0558
32,776,1758,636.9565,9.249308526244413,0.5010223461395651,3.0034,7.9005,8.1428,8.0802,17.2275,53.607531,37.088805978782084,-8.101302765162357,2,0.1138,0,0.0000,6,0.3413,0,0.0000,0,0.0000,0,0.0000
228,229,1752,634.7826,11.084588507198852,0.611412755311488,3.0057,8.7357,8.8898,8.8590,18.9007,58.854715,37.09006186220057,-8.105620447323417,0,0.0000,0,0.0000,2,0.1142,0,0.0000,0,0.0000,0,0.0000
304,1469,1752,634.7826,61.74202420232503,0.41086769721483535,3.0063,7.8927,7.9241,7.8253,16.4292,52.538145,37.10441736010219,-8.090402450359736,1,0.0571,0,0.0000,1,0.0571,1,0.0571,1,0.0571,0,0.0000
