pokemon_id,form,count_poke,avg_weight,avg_height,avg_size,avg_atk,avg_def,avg_sta,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
506,0,1077,390.2174,4.191189405915901,0.3990802428575867,2.9823,8.1328,8.0548,8.0232,17.1931,53.801579,41.29818857192254,-7.735604413021224,1,0.0929,0,0.0000,4,0.3714,0,0.0000,1,0.0929,1,0.0929
580,0,1055,382.2464,5.660412870764167,0.49971535026462166,3.0000,7.7393,7.9839,7.9545,16.8919,52.617223,41.29886560532255,-7.736532607755742,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
431,0,1022,370.2899,4.011296630139215,0.5005356918557033,2.9931,8.0959,8.1076,8.1908,17.0998,54.209628,41.297767027753856,-7.735181840572696,0,0.0000,0,0.0000,2,0.1957,0,0.0000,0,0.0000,0,0.0000
274,628,1022,370.2899,28.917201662157005,0.9932083867847861,3.0029,8.2554,8.2485,8.2524,17.4765,55.01412,41.299125909654386,-7.737031297230584,0,0.0000,1,0.0978,0,0.0000,0,0.0000,0,0.0000,0,0.0000
557,0,995,360.5072,15.08249758761695,0.30227206819967434,3.0101,8.0271,8.2734,7.9357,17.4965,53.858261,41.30079464364325,-7.738459568340189,0,0.0000,0,0.0000,1,0.1005,0,0.0000,0,0.0000,0,0.0000
287,0,982,355.7971,24.571265683354348,0.7903522237815701,2.9980,7.7800,8.3106,7.9745,16.7648,53.478249,41.29854459456415,-7.737427629641295,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
909,0,947,343.1159,10.050341058809629,0.3999007895447259,3.0021,8.3844,8.3210,7.9366,17.4583,54.760158,41.29891811736842,-7.7365332707448005,1,0.1056,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
906,0,935,338.7681,4.156574608109261,0.3978932783215247,2.9839,8.3818,8.2182,8.2888,17.6064,55.308246,41.2990280111113,-7.737449550693966,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.1070
912,0,904,327.5362,6.183255042046507,0.497124701920079,3.0022,7.7489,7.8020,7.8363,15.8739,51.971416,41.29911194372933,-7.736819180955398,0,0.0000,0,0.0000,0,0.0000,2,0.2212,1,0.1106,0,0.0000
661,0,904,327.5362,1.75530290920473,0.2994057309884962,2.9922,8.1969,7.8042,8.0088,16.7356,53.35541,41.29689064614257,-7.738259984627706,0,0.0000,0,0.0000,1,0.1106,0,0.0000,1,0.1106,1,0.1106
539,0,895,324.2754,52.124493090666874,1.3973500133226704,2.9933,8.7285,8.7464,8.6447,18.1754,58.043374,41.29979924062648,-7.736301523864688,0,0.0000,0,0.0000,2,0.2235,0,0.0000,0,0.0000,1,0.1117
52,63,854,309.4203,4.270467496393992,0.3980249341035113,2.9988,8.1101,7.9778,7.9836,16.5890,53.492143,41.29985219370257,-7.735541244947908,1,0.1171,0,0.0000,3,0.3513,0,0.0000,0,0.0000,0,0.0000
228,229,850,307.9710,10.887506602792179,0.6058796532013837,2.9859,8.0471,8.1012,8.2376,17.7271,54.190906,41.306080532609585,-7.7414940517136275,1,0.1176,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
338,0,840,304.3478,158.80192836315365,1.1914068280512506,2.9964,8.1536,8.2857,7.8952,16.8071,54.076714,41.29929496917022,-7.737284200064265,0,0.0000,0,0.0000,2,0.2381,0,0.0000,0,0.0000,0,0.0000
179,646,810,293.4783,8.029769833956236,0.6105523121209794,3.0185,7.7358,7.5185,7.6877,15.8444,50.982012,41.299017864134235,-7.738762955258813,1,0.1235,0,0.0000,2,0.2469,0,0.0000,0,0.0000,0,0.0000
100,2728,809,293.1159,13.370579705397484,0.5027814732014912,3.0136,8.2349,8.1384,8.1496,17.5649,54.495315,41.301167793937516,-7.738526727478749,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
216,1265,791,286.5942,8.989048436925382,0.6093802295153654,2.9975,8.1113,8.1858,8.0670,16.5133,54.142225,41.29622225556336,-7.73350131712299,1,0.1264,0,0.0000,1,0.1264,1,0.1264,0,0.0000,0,0.0000
