"pokemon_id"	"form"	"count_poke"	"percentage"	"avg_weight"	"avg_height"	"avg_size"	"avg_atk"	"avg_def"	"avg_sta"	"avg_level"	"avg_iv"	"iv_100"	"iv100_percentage"	"iv_0"	"iv0_percentage"	"shinies"	"shiny_odds"	"little_top_1"	"little_top1_percentage"	"great_top_1"	"great_top1_percentage"	"ultra_top_1"	"ultra_top1_percentage"
"281"	"295"	"5189"	"0.0191"	"20.687113650403536000"	"0.789533237982588100"	"2.9909"	"8.9187"	"8.9277"	"8.9405"	"19.1010"	"59.526356"	"5"	"0.0964"	"0"	"0.0000"	"93"	"1.7923"	"1"	"0.0193"	"0"	"0.0000"	"0"	"0.0000"
"669"	"2614"	"5123"	"0.0189"	"0.101857246657345970"	"0.099762319133151340"	"3.0002"	"8.3557"	"8.5179"	"8.4314"	"17.8450"	"56.233073"	"0"	"0.0000"	"0"	"0.0000"	"0"	"0.0000"	"0"	"0.0000"	"2"	"0.0390"	"1"	"0.0195"
"769"	"0"	"4747"	"0.0175"	"71.597839545438090000"	"0.499313739265728750"	"2.9973"	"7.9218"	"7.9328"	"7.7944"	"16.4466"	"52.553453"	"2"	"0.0421"	"1"	"0.0211"	"0"	"0.0000"	"0"	"0.0000"	"1"	"0.0211"	"1"	"0.0211"
"375"	"767"	"4403"	"0.0162"	"208.567436437706560000"	"1.194600935684870100"	"3.0036"	"7.3945"	"7.4849"	"7.4967"	"15.5501"	"49.724638"	"1"	"0.0227"	"1"	"0.0227"	"0"	"0.0000"	"1"	"0.0227"	"6"	"0.1363"	"1"	"0.0227"
"98"	"870"	"4390"	"0.0162"	"6.685209295650210000"	"0.400164359138146200"	"2.9993"	"7.5046"	"7.5895"	"7.5729"	"15.7228"	"50.371005"	"2"	"0.0456"	"2"	"0.0456"	"9"	"0.2050"	"0"	"0.0000"	"3"	"0.0683"	"2"	"0.0456"
"124"	"0"	"4378"	"0.0161"	"41.630783835018640000"	"1.398973550134811300"	"2.9979"	"8.0475"	"7.9123"	"8.0196"	"16.6788"	"53.287636"	"0"	"0.0000"	"0"	"0.0000"	"4"	"0.0914"	"0"	"0.0000"	"0"	"0.0000"	"1"	"0.0228"
"310"	"1487"	"4365"	"0.0161"	"41.642892203346314000"	"1.506034743353663000"	"3.0078"	"7.6351"	"7.5572"	"7.5288"	"15.6282"	"50.491077"	"2"	"0.0458"	"1"	"0.0229"	"35"	"0.8018"	"1"	"0.0229"	"2"	"0.0458"	"1"	"0.0229"
"690"	"0"	"4356"	"0.0160"	"7.455762611223437000"	"0.498656434949902140"	"3.0014"	"9.0335"	"9.0579"	"9.0085"	"19.2606"	"60.221844"	"0"	"0.0000"	"0"	"0.0000"	"13"	"0.2984"	"0"	"0.0000"	"1"	"0.0230"	"0"	"0.0000"
"288"	"0"	"4341"	"0.0160"	"47.482601584710130000"	"1.394293469680423200"	"3.0007"	"8.0290"	"8.1375"	"8.1214"	"16.7795"	"53.973184"	"1"	"0.0230"	"0"	"0.0000"	"0"	"0.0000"	"0"	"0.0000"	"5"	"0.1152"	"0"	"0.0000"
"688"	"0"	"4146"	"0.0153"	"31.828885921338113000"	"0.499909841167140050"	"2.9969"	"8.1710"	"8.0224"	"8.1155"	"16.7528"	"54.019877"	"1"	"0.0241"	"1"	"0.0241"	"8"	"0.1930"	"0"	"0.0000"	"1"	"0.0241"	"0"	"0.0000"
"82"	"658"	"3936"	"0.0145"	"61.614217059480660000"	"1.001697931178075200"	"3.0005"	"7.6169"	"7.7160"	"7.5823"	"16.2129"	"50.922477"	"1"	"0.0254"	"3"	"0.0762"	"0"	"0.0000"	"0"	"0.0000"	"0"	"0.0000"	"0"	"0.0000"
"18"	"0"	"3896"	"0.0143"	"40.885890406405395000"	"1.506238024711486400"	"3.0031"	"8.1327"	"8.2161"	"8.2156"	"17.0326"	"54.587613"	"1"	"0.0257"	"0"	"0.0000"	"29"	"0.7444"	"1"	"0.0257"	"0"	"0.0000"	"1"	"0.0257"
"971"	"0"	"3743"	"0.0138"	"36.151428362782250000"	"0.602810922118955200"	"3.0024"	"7.6567"	"7.5859"	"7.4956"	"15.2308"	"50.529327"	"2"	"0.0534"	"0"	"0.0000"	"0"	"0.0000"	"0"	"0.0000"	"1"	"0.0267"	"1"	"0.0267"
