pokemon_id,form,count_poke,percentage,avg_level,avg_iv,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
228,229,103521,19241.8216,18.1003,56.866912,52,0.0502,16,0.0155,198,0.1913,13,0.0126,18,0.0174,21,0.0203
50,59,103046,19153.5316,15.9374,51.157793,29,0.0281,21,0.0204,191,0.1854,30,0.0291,19,0.0184,0,0.0000
618,2345,102764,19101.1152,16.9917,54.197999,45,0.0438,16,0.0156,1537,1.4957,6,0.0058,21,0.0204,45,0.0438
74,67,101626,18889.5911,18.7786,58.748061,50,0.0492,12,0.0118,185,0.1820,4,0.0039,63,0.0620,11,0.0108
84,0,99157,18430.6691,18.1578,57.072587,40,0.0403,12,0.0121,200,0.2017,13,0.0131,6,0.0061,27,0.0272
767,0,96926,18015.9851,15.6372,50.326238,26,0.0268,29,0.0299,0,0.0000,30,0.0310,16,0.0165,30,0.0310
559,0,93098,17304.4610,16.8091,53.510819,31,0.0333,12,0.0129,181,0.1944,8,0.0086,47,0.0505,39,0.0419
661,0,90779,16873.4201,18.4449,57.832239,41,0.0452,11,0.0121,182,0.2005,15,0.0165,25,0.0275,72,0.0793
524,0,90534,16827.8810,16.8567,53.855084,32,0.0353,11,0.0122,173,0.1911,11,0.0122,23,0.0254,11,0.0122
234,941,87547,16272.6766,16.9220,53.699473,33,0.0377,16,0.0183,165,0.1885,5,0.0057,12,0.0137,32,0.0366
275,631,86662,16108.1784,17.7670,56.117414,42,0.0485,3,0.0035,0,0.0000,7,0.0081,12,0.0138,11,0.0127
928,0,86161,16015.0558,18.8531,58.959947,42,0.0487,10,0.0116,0,0.0000,11,0.0128,44,0.0511,6,0.0070
176,0,86123,16007.9926,17.8657,56.177949,29,0.0337,8,0.0093,169,0.1962,2,0.0023,22,0.0255,12,0.0139
741,2679,81290,15109.6654,18.9040,58.932398,38,0.0467,3,0.0037,0,0.0000,5,0.0062,4,0.0049,45,0.0554
108,0,79214,14723.7918,16.7629,53.311147,22,0.0278,12,0.0151,1198,1.5124,33,0.0417,34,0.0429,11,0.0139
605,0,78705,14629.1822,16.8622,53.470055,23,0.0292,11,0.0140,156,0.1982,10,0.0127,32,0.0407,12,0.0152
111,846,78641,14617.2862,18.4431,57.974842,34,0.0432,7,0.0089,148,0.1882,8,0.0102,10,0.0127,2,0.0025
753,0,76505,14220.2602,17.2371,54.667796,27,0.0353,8,0.0105,146,0.1908,10,0.0131,6,0.0078,7,0.0091
